Date,Quantity
2019-09-01,454.9671415301123
2019-09-02,448.6173569882882
2019-09-03,456.4768853810069
2019-09-04,465.2302985640803
2019-09-05,447.65846625276663
2019-09-06,447.6586304305082
2019-09-07,465.7921281550739
2019-09-08,457.6743472915291
2019-09-09,445.3052561406505
2019-09-10,455.4256004358596
2019-09-11,445.36582307187535
2019-09-12,445.3427024642974
2019-09-13,452.41962271566035
2019-09-14,430.86719755342205
2019-09-15,432.75082167486966
2019-09-16,444.37712470759027
2019-09-17,439.87168879665575
2019-09-18,453.1424733259527
2019-09-19,440.9197592447879
2019-09-20,435.8769629866471
2019-09-21,464.65648768921557
2019-09-22,447.74223699513465
2019-09-23,450.67528204687926
2019-09-24,435.7525181378654
2019-09-25,444.55617275474816
2019-09-26,451.10922589709867
2019-09-27,438.49006422577696
2019-09-28,453.75698018345673
2019-09-29,443.99361310081196
2019-09-30,447.0830625020672
2019-10-01,443.98293387770605
2019-10-02,468.52278184508936
2019-10-03,449.8650277526207
2019-10-04,439.422890710441
2019-10-05,458.2254491210319
2019-10-06,437.7915635002898
2019-10-07,452.08863595004755
2019-10-08,430.4032987612022
2019-10-09,436.7181395110157
2019-10-10,451.96861235869125
2019-10-11,457.3846657999541
2019-10-12,451.71368281189973
2019-10-13,448.8435171761176
2019-10-14,446.9889630441071
2019-10-15,435.21478009632574
2019-10-16,442.8015579160529
2019-10-17,445.39361229040213
2019-10-18,460.57122226218917
2019-10-19,453.4361828956846
2019-10-20,432.36959844637266
2019-10-21,453.240839693948
2019-10-22,446.14917719583684
2019-10-23,443.23077999694044
2019-10-24,456.1167628884087
2019-10-25,460.3099952249595
2019-10-26,459.312801191162
2019-10-27,441.6078247677736
2019-10-28,446.9078762414878
2019-10-29,453.3126343140356
2019-10-30,459.7554512712236
2019-10-31,445.2082576215471
2019-11-01,448.1434102333618
2019-11-02,438.9366502599397
2019-11-03,438.03793375919327
2019-11-04,458.12525822394196
2019-11-05,463.56240028570824
2019-11-06,449.2798987841967
2019-11-07,460.03532897892023
2019-11-08,453.61636025047636
2019-11-09,443.5488024539488
2019-11-10,453.61395605508415
2019-11-11,465.3803656646597
2019-11-12,449.6417396089005
2019-11-13,465.64643655814007
2019-11-14,423.8025489591026
2019-11-15,458.21902504375225
2019-11-16,450.8704706823817
2019-11-17,447.00992649534135
2019-11-18,450.917607765355
2019-11-19,430.12431085399106
2019-11-20,447.8032811216249
2019-11-21,453.5711257151175
2019-11-22,464.77894044741515
2019-11-23,444.8172978172635
2019-11-24,441.91506397106815
2019-11-25,444.98242956415464
2019-11-26,459.15402117702075
2019-11-27,453.28751109659686
2019-11-28,444.7023979623296
2019-11-29,455.13267433113356
2019-11-30,450.9707754934804
